p_true,c_esc,c_rej,error_pct,p_est,i_opt_est,f_opt_est,etc_incurred,etc_perfect,cost_excess_pct
0.05,50.0,500.0,-30,0.035,500,1.0,2000.0,2000.0,-0.0
0.05,50.0,500.0,-20,0.04,500,1.0,2000.0,2000.0,-0.0
0.05,50.0,500.0,-10,0.045,500,1.0,2000.0,2000.0,-0.0
0.05,50.0,500.0,0,0.05,500,0.9999,2000.0,2000.0,0.0
0.05,50.0,500.0,10,0.055,500,0.9977,2000.0,2000.0,0.0
0.05,50.0,500.0,20,0.06,500,0.977,2000.0,2000.0,0.0
0.05,50.0,500.0,30,0.065,500,0.9154,2000.0,2000.0,0.0
0.06,35.0,500.0,-30,0.042,1,0.01,2401.05,2200.0,9.139
0.06,35.0,500.0,-20,0.048,1,0.01,2401.05,2200.0,9.139
0.06,35.0,500.0,-10,0.054,500,0.01,2200.0,2200.0,-0.0
0.06,35.0,500.0,0,0.06,500,0.01,2200.0,2200.0,0.0
0.06,35.0,500.0,10,0.066,500,1.0,2200.0,2200.0,0.0
0.06,35.0,500.0,20,0.072,500,0.3882,2200.0,2200.0,0.0
0.06,35.0,500.0,30,0.078,486,1.0,2200.0,2200.0,0.0
0.07,35.0,500.0,-30,0.049,1,0.01,2799.41,2400.0,16.642
0.07,35.0,500.0,-20,0.056,500,0.01,2400.0,2400.0,0.0
0.07,35.0,500.0,-10,0.063,500,0.0101,2400.0,2400.0,0.0
0.07,35.0,500.0,0,0.07,499,0.7663,2400.0,2400.0,0.0
0.07,35.0,500.0,10,0.077,489,1.0,2400.0,2400.0,0.0
0.07,35.0,500.0,20,0.084,451,1.0,2400.0,2400.0,0.0
0.07,35.0,500.0,30,0.091,433,1.0,2400.0,2400.0,0.0
