Q,c_rew,p,i_opt,f_opt,etc_opt,etc_floor,at_floor
100,10,0.01,1,0.01,55.61,110.0,False
100,10,0.02,1,0.01,110.21,120.0,False
100,10,0.05,500,0.9999,150.0,150.0,True
100,10,0.1,380,1.0,200.0,200.0,True
100,20,0.01,1,0.01,55.71,120.0,False
100,20,0.02,1,0.01,110.41,140.0,False
100,20,0.05,500,0.9998,200.0,200.0,True
100,20,0.1,375,1.0,300.0,300.0,True
100,40,0.01,1,0.01,55.91,140.0,False
100,40,0.02,1,0.01,110.82,180.0,False
100,40,0.05,1,0.01,275.53,300.0,False
100,40,0.1,375,1.0,500.0,500.0,True
1000,10,0.01,1,0.01,556.09,1100.0,False
1000,10,0.02,1,0.01,1102.08,1200.0,False
1000,10,0.05,500,1.0,1500.0,1500.0,True
1000,10,0.1,382,1.0,2000.0,2000.0,True
1000,20,0.01,1,0.01,557.1,1200.0,False
1000,20,0.02,1,0.01,1104.12,1400.0,False
1000,20,0.05,500,0.9999,2000.0,2000.0,True
1000,20,0.1,377,1.0,3000.0,3000.0,True
1000,40,0.01,1,0.01,559.12,1400.0,False
1000,40,0.02,1,0.01,1108.2,1800.0,False
1000,40,0.05,1,0.01,2755.28,3000.0,False
1000,40,0.1,372,1.0,5000.0,5000.0,True
10000,10,0.01,1,0.01,5560.88,11000.0,False
10000,10,0.02,1,0.01,11020.8,12000.0,False
10000,10,0.05,500,0.9998,15000.0,15000.0,True
10000,10,0.1,378,1.0,20000.0,20000.0,True
10000,20,0.01,1,0.01,5570.99,12000.0,False
10000,20,0.02,1,0.01,11041.22,14000.0,False
10000,20,0.05,500,0.9997,20000.0,20000.0,True
10000,20,0.1,378,1.0,30000.0,30000.0,True
10000,40,0.01,1,0.01,5591.2,14000.0,False
10000,40,0.02,1,0.01,11082.05,18000.0,False
10000,40,0.05,1,0.01,27552.79,30000.0,False
10000,40,0.1,373,1.0,50000.0,50000.0,True
