p,c_esc,c_rej,i_opt,f_opt,cost_opt,cost_static,reduction_%
0.01,20,100,1,0.01,220.11,449.03,50.98
0.01,20,500,1,0.01,260.13,824.51,68.45
0.01,20,1000,1,0.01,310.15,1293.87,76.03
0.01,50,100,1,0.01,517.08,702.48,26.39
0.01,50,500,1,0.01,557.1,1077.97,48.32
0.01,50,1000,1,0.01,607.12,1547.32,60.76
0.01,100,100,1,0.01,1012.03,1124.9,10.03
0.01,100,500,1,0.01,1052.05,1500.39,29.88
0.01,100,1000,1,0.01,1102.07,1969.75,44.05
0.02,20,100,1,0.01,430.22,804.05,46.49
0.02,20,500,1,0.01,510.25,1485.14,65.64
0.02,20,1000,1,0.01,610.29,2336.49,73.88
0.02,50,100,1,0.01,1024.09,1263.78,18.97
0.02,50,500,1,0.01,1104.12,1944.87,43.23
0.02,50,1000,1,0.01,1204.16,2796.22,56.94
0.02,100,100,500,1.0,1400.08,2030.0,31.03
0.02,100,500,500,1.0,1400.41,2711.09,48.35
0.02,100,1000,500,1.0,1400.82,3562.44,60.68
0.05,20,100,1,0.01,1060.53,1818.15,41.67
0.05,20,500,1,0.01,1260.54,2727.4,53.78
0.05,20,1000,1,0.01,1510.56,3863.95,60.91
0.05,50,100,500,0.9999,2000.0,2431.89,17.76
0.05,50,500,500,0.9999,2000.0,3341.13,40.14
0.05,50,1000,500,0.9999,2000.0,4477.69,55.33
0.05,100,100,500,1.0,2000.0,3454.79,42.11
0.05,100,500,500,1.0,2000.0,4364.03,54.17
0.05,100,1000,500,1.0,2000.0,5500.59,63.64
0.1,20,100,1,0.01,2111.05,3004.93,29.75
0.1,20,500,1,0.01,2510.84,3201.94,21.58
0.1,20,1000,384,1.0,3000.0,3448.2,13.0
0.1,50,100,362,1.0,3000.0,3137.91,4.39
0.1,50,500,377,1.0,3000.0,3334.92,10.04
0.1,50,1000,384,1.0,3000.0,3581.19,16.23
0.1,100,100,362,1.0,3000.0,3359.55,10.7
0.1,100,500,377,1.0,3000.0,3556.56,15.65
0.1,100,1000,384,1.0,3000.0,3802.83,21.11
